Date,RK,Team,P,W,L,D,F,A,PTS
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/17/2025,1,DC Rockets,8,7,0,1,108,37,32
11/17/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/17/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/17/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/17/2025,5,DC Nova,8,3,5,0,63,64,14
11/17/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/17/2025,7,DC Gravity,8,1,6,1,35,98,8
11/17/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/18/2025,1,DC Rockets,8,7,0,1,108,37,32
11/18/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/18/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/18/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/18/2025,5,DC Nova,8,3,5,0,63,64,14
11/18/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/18/2025,7,DC Gravity,8,1,6,1,35,98,8
11/18/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/18/2025,1,DC Rockets,8,7,0,1,108,37,32
11/18/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/18/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/18/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/18/2025,5,DC Nova,8,3,5,0,63,64,14
11/18/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/18/2025,7,DC Gravity,8,1,6,1,35,98,8
11/18/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/18/2025,1,DC Rockets,8,7,0,1,108,37,32
11/18/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/18/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/18/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/18/2025,5,DC Nova,8,3,5,0,63,64,14
11/18/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/18/2025,7,DC Gravity,8,1,6,1,35,98,8
11/18/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/18/2025,1,DC Rockets,8,7,0,1,108,37,32
11/18/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/18/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/18/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/18/2025,5,DC Nova,8,3,5,0,63,64,14
11/18/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/18/2025,7,DC Gravity,8,1,6,1,35,98,8
11/18/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/18/2025,1,DC Rockets,8,7,0,1,108,37,32
11/18/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/18/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/18/2025,4,DC Galaxy,8,4,3,1,59,60,20
11/18/2025,5,DC Nova,8,3,5,0,63,64,14
11/18/2025,6,Eltham Lions,8,1,6,1,41,88,8
11/18/2025,7,DC Gravity,8,1,6,1,35,98,8
11/18/2025,8,Montmorency 11 Swoopers,8,1,7,0,45,95,6
11/18/2025,1,DC Rockets,8,7,0,1,108,37,32
11/18/2025,2,Montmorency 11 White,8,7,1,0,86,32,30
11/18/2025,3,HG 11 Flames,8,6,2,0,93,56,26
11/18/2025,4,DC Galaxy,8,4,3,1,59,60,20
